,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
1100,Bo Burnham: What.,tm162271,tt3210258,8.3,11488.0,308,Bo Burnham,DIRECTOR
1103,Mike Birbiglia: My Girlfriend's Boyfriend,tm171965,tt2937390,8.0,3284.0,17073,Seth Barrish,DIRECTOR
1329,In Our Mothers' Gardens,tm1040733,tt14369930,8.6,124.0,1904729,Shantrelle P. Lewis,DIRECTOR
448,Inception,tm92641,tt1375666,8.8,2268288.0,1725,Christopher Nolan,DIRECTOR
400,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,2779,Steven Spielberg,DIRECTOR
655,Into the Wild,tm76066,tt0758758,8.1,611379.0,6123,Sean Penn,DIRECTOR
1207,Springsteen On Broadway,tm445735,tt8716334,8.5,2178.0,175889,Thom Zimny,DIRECTOR
705,Swades,tm82765,tt0367110,8.1,89085.0,68596,Ashutosh Gowariker,DIRECTOR
1306,Disclosure,tm845437,tt8637504,8.2,5301.0,300417,Sam Feder,DIRECTOR
1115,Jim Jefferies: Bare,tm149914,tt3958494,8.0,5407.0,701746,Shannon Hartman,DIRECTOR
933,Her,tm169422,tt1798709,8.0,586679.0,4096,Spike Jonze,DIRECTOR
317,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3238,Robert Zemeckis,DIRECTOR
1261,Kiss the Ground,tm927480,tt8618654,8.2,6607.0,288984,Joshua Tickell,DIRECTOR
