,person_id,id,role,title,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
45,14445,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
46,14446,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
47,14447,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
48,520251,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
49,14448,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
50,518372,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
51,450171,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
52,1022050,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
53,14449,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
54,14622,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
55,525566,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
56,50859,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
57,7101,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
58,49762,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
59,176,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
60,14450,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
61,1171700,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
62,1171801,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
63,14452,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
64,82422,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
65,554384,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
66,920339,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
67,14451,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
68,1171714,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
69,1031264,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
70,1171814,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
71,897392,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
72,1171936,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
73,1171750,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
74,1171752,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
75,1171860,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
76,1171760,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
77,1171764,tm190788,ACTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
78,14255,tm190788,DIRECTOR,The Exorcist,1973,R,133,['horror'],['US'],tt0070047,good_score,350000+,95.337,7.7
79,6050,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
