index,person_id,id,name,role
130,14450,tm190788,Mercedes McCambridge,ACTOR
131,1171700,tm190788,Paul Bateson,ACTOR
132,1171801,tm190788,Elinore Blair,ACTOR
133,14452,tm190788,William Peter Blatty,ACTOR
134,82422,tm190788,Mary Boylan,ACTOR
135,554384,tm190788,Mason Curry,ACTOR
136,920339,tm190788,Toni Darnay,ACTOR
137,14451,tm190788,Eileen Dietz,ACTOR
138,1171714,tm190788,Joanne Dusseau,ACTOR
139,1031264,tm190788,Bernard Eismann,ACTOR
140,1171814,tm190788,Beatrice Hunter,ACTOR
141,897392,tm190788,Yvonne Jones,ACTOR
142,1171936,tm190788,Don LaBonte,ACTOR
143,1171750,tm190788,Barton Lane,ACTOR
144,1171752,tm190788,Ann Miles,ACTOR
145,1171860,tm190788,John Nicola,ACTOR
146,1171760,tm190788,Vincent Russell,ACTOR
147,1171764,tm190788,Gerard F. Yates,ACTOR
148,14255,tm190788,William Friedkin,DIRECTOR
149,11472,ts22164,Graham Chapman,ACTOR
150,11476,ts22164,Michael Palin,ACTOR
151,11475,ts22164,Terry Jones,ACTOR
152,11474,ts22164,Eric Idle,ACTOR
153,11473,ts22164,Terry Gilliam,ACTOR
154,6050,tm14873,Clint Eastwood,ACTOR
155,74499,tm14873,Harry Guardino,ACTOR
156,24045,tm14873,Reni Santoni,ACTOR
157,29250,tm14873,John Vernon,ACTOR
158,29225,tm14873,Andrew Robinson,ACTOR
159,63141,tm14873,John Larch,ACTOR
160,28420,tm14873,John Mitchum,ACTOR
161,83026,tm14873,Mae Mercer,ACTOR
162,83027,tm14873,Lyn Edgington,ACTOR
163,83028,tm14873,Ruth Kobart,ACTOR
164,29253,tm14873,Woodrow Parfrey,ACTOR
165,7250,tm14873,Josef Sommer,ACTOR
166,83029,tm14873,William Paterson,ACTOR
167,44085,tm14873,James Nolan,ACTOR
168,28418,tm14873,Maurice Argent,ACTOR
169,83030,tm14873,Jo De Winter,ACTOR
170,642080,tm14873,Craig Kelly,ACTOR
171,24203,tm14873,Albert Popwell,ACTOR
172,83031,tm14873,Joy Carlin,ACTOR
173,83032,tm14873,Bill Couch,ACTOR
174,83033,tm14873,Diana Davidson,ACTOR
175,6848,tm14873,Vince Deadrick Sr.,ACTOR
176,83034,tm14873,Chuck Dorsett,ACTOR
177,83035,tm14873,Al Dunlap,ACTOR
178,83036,tm14873,Larry Duran,ACTOR
179,63147,tm14873,George Fargo,ACTOR
180,83037,tm14873,Lois Foraker,ACTOR
181,29725,tm14873,Max Gail,ACTOR
182,19846,tm14873,John Garber,ACTOR
183,37760,tm14873,Christopher Pray,ACTOR
184,83038,tm14873,Eddie Garrett,ACTOR
185,58911,tm14873,James W. Gavin,ACTOR
186,28432,tm14873,David Gilliam,ACTOR
187,83039,tm14873,Don Haggerty,ACTOR
188,83040,tm14873,Scott Hale,ACTOR
189,83041,tm14873,Kate Harper,ACTOR
190,83042,tm14873,Bob Harris,ACTOR
191,15562,tm14873,Chuck Hicks,ACTOR
192,28171,tm14873,Raymond Johnson,ACTOR
193,58618,tm14873,Richard Lawson,ACTOR
