,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
241,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,2718,Tom Hanks,ACTOR
243,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3186,Gary Sinise,ACTOR
412,Inception,tm92641,tt1375666,8.8,2268288.0,1652,Lukas Haas,ACTOR
242,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,10888,Robin Wright,ACTOR
308,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3236,Robb Skyler,ACTOR
302,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3231,Bryan Hanna,ACTOR
304,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3232,Aaron Michael Lacey,ACTOR
416,Inception,tm92641,tt1375666,8.8,2268288.0,52379,Claire Geare,ACTOR
415,Inception,tm92641,tt1375666,8.8,2268288.0,16641,Taylor Geare,ACTOR
414,Inception,tm92641,tt1375666,8.8,2268288.0,77136,Tohoru Masamune,ACTOR
413,Inception,tm92641,tt1375666,8.8,2268288.0,2150,Talulah Riley,ACTOR
411,Inception,tm92641,tt1375666,8.8,2268288.0,1694,Michael Caine,ACTOR
402,Inception,tm92641,tt1375666,8.8,2268288.0,3010,Joseph Gordon-Levitt,ACTOR
421,Inception,tm92641,tt1375666,8.8,2268288.0,77040,Miranda Nolan,ACTOR
417,Inception,tm92641,tt1375666,8.8,2268288.0,351504,Johnathan Geare,ACTOR
410,Inception,tm92641,tt1375666,8.8,2268288.0,3016,Pete Postlethwaite,ACTOR
407,Inception,tm92641,tt1375666,8.8,2268288.0,3012,Cillian Murphy,ACTOR
406,Inception,tm92641,tt1375666,8.8,2268288.0,3013,Dileep Rao,ACTOR
405,Inception,tm92641,tt1375666,8.8,2268288.0,2806,Elliot Page,ACTOR
404,Inception,tm92641,tt1375666,8.8,2268288.0,1640,Tom Hardy,ACTOR
403,Inception,tm92641,tt1375666,8.8,2268288.0,3011,Ken Watanabe,ACTOR
441,Inception,tm92641,tt1375666,8.8,2268288.0,77469,Peter Basham,ACTOR
268,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3204,Don Fischer,ACTOR
438,Inception,tm92641,tt1375666,8.8,2268288.0,1789502,Jill Maddrell,ACTOR
283,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,215052,Kevin Davis,ACTOR
281,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3213,Isabel Rose,ACTOR
280,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3211,John William Galt,ACTOR
279,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3212,Stephen Bridgewater,ACTOR
278,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,415948,Steve DeRelian,ACTOR
277,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3210,Byron Minns,ACTOR
275,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3206,Steven Griffith,ACTOR
445,Inception,tm92641,tt1375666,8.8,2268288.0,1284975,Lisa Reynolds,ACTOR
247,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3188,Hanna Hall,ACTOR
246,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,598571,Michael Conner Humphreys,ACTOR
245,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,7645,Sally Field,ACTOR
439,Inception,tm92641,tt1375666,8.8,2268288.0,27692,Alex Lombard,ACTOR
425,Inception,tm92641,tt1375666,8.8,2268288.0,91220,Silvie Laguna,ACTOR
447,Inception,tm92641,tt1375666,8.8,2268288.0,2269290,Daniel Girondeaud,ACTOR
446,Inception,tm92641,tt1375666,8.8,2268288.0,301776,Shannon Welles,ACTOR
423,Inception,tm92641,tt1375666,8.8,2268288.0,4726,Tim Kelleher,ACTOR
282,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3214,Richard D'Alessandro,ACTOR
297,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3226,Charles Boswell,ACTOR
276,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3209,Michael McFall,ACTOR
431,Inception,tm92641,tt1375666,8.8,2268288.0,984017,Magnus Nolan,ACTOR
437,Inception,tm92641,tt1375666,8.8,2268288.0,82056,Carl Gilliard,ACTOR
284,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3215,Michael Jace,ACTOR
436,Inception,tm92641,tt1375666,8.8,2268288.0,231310,Natasha Beaumont,ACTOR
435,Inception,tm92641,tt1375666,8.8,2268288.0,85756,Jack Murray,ACTOR
433,Inception,tm92641,tt1375666,8.8,2268288.0,1625708,Mark Fleischmann,ACTOR
443,Inception,tm92641,tt1375666,8.8,2268288.0,392464,Felix Scott,ACTOR
432,Inception,tm92641,tt1375666,8.8,2268288.0,984023,Helena Cullinan,ACTOR
430,Inception,tm92641,tt1375666,8.8,2268288.0,984016,Tai-Li Lee,ACTOR
429,Inception,tm92641,tt1375666,8.8,2268288.0,294917,Marc Raducci,ACTOR
428,Inception,tm92641,tt1375666,8.8,2268288.0,351508,Jean-Michel Dagory,ACTOR
424,Inception,tm92641,tt1375666,8.8,2268288.0,351506,Coralie Dedykere,ACTOR
422,Inception,tm92641,tt1375666,8.8,2268288.0,1710,Russ Fega,ACTOR
401,Inception,tm92641,tt1375666,8.8,2268288.0,1641,Leonardo DiCaprio,ACTOR
444,Inception,tm92641,tt1375666,8.8,2268288.0,5811,Andrew Pleavin,ACTOR
1316,Bo Burnham: Inside,tm1038686,tt14545352,8.7,44074.0,308,Bo Burnham,ACTOR
708,A Lion in the House,tm25842,tt0492472,8.7,312.0,1688762,Alexandra Lougheed,ACTOR
709,A Lion in the House,tm25842,tt0492472,8.7,312.0,1689300,Jen Moones,ACTOR
710,A Lion in the House,tm25842,tt0492472,8.7,312.0,1689136,Timothy Woods,ACTOR
